Station Name,Centrality Score
Times Sq-42 St,1.0
42 St-Port Authority Bus Terminal,0.959
34 St-Penn Station,0.767
Grand Central-42 St,0.729
34 St-Herald Sq,0.591
86 St,0.586
14 St-Union Sq,0.571
23 St,0.565
14 St,0.523
Canal St,0.49
Fulton St,0.463
72 St,0.455
59 St-Columbus Circle,0.401
96 St,0.396
125 St,0.369
59 St,0.349
Atlantic Av-Barclays Ctr,0.312
Jackson Hts-Roosevelt Av,0.31
8 Av,0.308
74 St-Broadway,0.307
W 4 St-Wash Sq,0.303
Flushing-Main St,0.3
World Trade Center,0.297
Park Place,0.29
50 St,0.283
Chambers St,0.274
51 St,0.269
28 St,0.268
47-50 Sts-Rockefeller Ctr,0.264
7 Av,0.255
5 Av,0.254
42 St-Bryant Pk,0.252
Lexington Av/53 St,0.252
Lexington Av/59 St,0.245
6 Av,0.236
DeKalb Av,0.236
Broadway-Lafayette St,0.223
Bleecker St,0.208
Jay St-MetroTech,0.205
Grand St,0.2
57 St-7 Av,0.193
Brooklyn Bridge-City Hall,0.187
Spring St,0.178
Bedford Av,0.173
77 St,0.172
145 St,0.172
Wall St,0.165
Church Av,0.156
Delancey St-Essex St,0.149
49 St,0.149
33 St,0.144
Borough Hall,0.138
Court St,0.136
34 St-Hudson Yards,0.135
Whitehall St-South Ferry,0.134
116 St,0.133
South Ferry,0.132
Junction Blvd,0.131
Kings Hwy,0.131
36 St,0.13
103 St,0.13
Sutphin Blvd-Archer Av-JFK Airport,0.129
103 St-Corona Plaza,0.127
1 Av,0.125
Court Sq-23 St,0.124
Jamaica Center-Parsons/Archer,0.124
Court Sq,0.122
Myrtle-Wyckoff Avs,0.122
161 St-Yankee Stadium,0.12
66 St-Lincoln Center,0.119
79 St,0.118
68 St-Hunter College,0.118
Forest Hills-71 Av,0.117
Bergen St,0.116
5 Av/53 St,0.115
Crown Hts-Utica Av,0.113
168 St,0.112
8 St-NYU,0.112
Nostrand Av,0.11
168 St-Washington Hts,0.107
Astor Pl,0.107
Bowling Green,0.106
Prince St,0.104
Fort Hamilton Pkwy,0.101
81 St-Museum of Natural History,0.101
Franklin Av-Medgar Evers College,0.1
Kew Gardens-Union Tpke,0.1
Lorimer St,0.099
Queens Plaza,0.098
Houston St,0.097
Cathedral Pkwy (110 St),0.096
2 Av,0.091
90 St-Elmhurst Av,0.091
Lexington Av/63 St,0.09
Hoyt-Schermerhorn Sts,0.089
WTC Cortlandt,0.089
Woodhaven Blvd,0.088
Vernon Blvd-Jackson Av,0.087
Coney Island-Stillwell Av,0.087
181 St,0.082
Jamaica-179 St,0.081
Christopher St-Stonewall,0.081
135 St,0.08
Cortlandt St,0.08
4 Av-9 St,0.08
Grand Av-Newtown,0.079
5 Av/59 St,0.079
Metropolitan Av,0.079
York St,0.078
Franklin St,0.076
Flatbush Av-Brooklyn College,0.076
61 St-Woodside,0.075
3 Av-149 St,0.075
East Broadway,0.075
Nevins St,0.073
116 St-Columbia University,0.073
18 Av,0.072
Broadway,0.072
Bay Pkwy,0.07
Avenue U,0.07
18 St,0.07
Botanic Garden,0.069
Fordham Rd,0.069
Clinton-Washington Avs,0.069
Steinway St,0.067
Astoria-Ditmars Blvd,0.066
Prospect Park,0.064
Carroll St,0.063
Queensboro Plaza,0.063
137 St-City College,0.063
High St,0.062
Union St,0.062
Jefferson St,0.061
Utica Av,0.06
Rector St,0.06
167 St,0.06
30 Av,0.06
63 Dr-Rego Park,0.059
57 St,0.059
Halsey St,0.059
Marcy Av,0.058
Sheepshead Bay,0.058
City Hall,0.058
3 Av,0.058
Parkchester,0.057
Elmhurst Av,0.057
Prospect Av,0.056
Myrtle Av,0.056
Dyckman St,0.055
Graham Av,0.055
46 St-Bliss St,0.054
111 St,0.053
Kingsbridge Rd,0.053
53 St,0.05
Brighton Beach,0.05
Bay Ridge Av,0.049
Astoria Blvd,0.048
149 St-Grand Concourse,0.048
Newkirk Plaza,0.048
157 St,0.047
15 St-Prospect Park,0.047
Hoyt St,0.046
175 St,0.046
Pelham Pkwy,0.045
45 St,0.045
170 St,0.044
Montrose Av,0.044
Flushing Av,0.043
Grand Army Plaza,0.043
Euclid Av,0.043
110 St,0.042
82 St-Jackson Hts,0.042
20 Av,0.042
3 Av-138 St,0.041
40 St-Lowery St,0.041
Nassau Av,0.041
Greenpoint Av,0.041
Gun Hill Rd,0.041
Inwood-207 St,0.041
Morgan Av,0.04
Bedford-Nostrand Avs,0.04
E 180 St,0.039
9 Av,0.039
Rockaway Av,0.039
Roosevelt Island,0.038
Mets-Willets Point,0.038
Broadway Junction,0.038
Clark St,0.038
Hunts Point Av,0.037
Burnside Av,0.037
Bay Ridge-95 St,0.037
Central Park North (110 St),0.037
Winthrop St,0.035
Lafayette Av,0.035
Kingston-Throop Avs,0.034
231 St,0.034
169 St,0.033
67 Av,0.033
Rockaway Blvd,0.033
46 St,0.032
Parkside Av,0.032
New Lots Av,0.032
Franklin Av,0.031
33 St-Rawson St,0.031
Eastern Pkwy-Brooklyn Museum,0.03
Parsons Blvd,0.03
New Utrecht Av,0.03
191 St,0.029
36 Av,0.028
Mosholu Pkwy,0.028
Northern Blvd,0.028
71 St,0.028
Newkirk Av-Little Haiti,0.028
Van Siclen Av,0.027
Ozone Park-Lefferts Blvd,0.027
Van Cortlandt Park-242 St,0.027
21 St-Queensbridge,0.027
Gates Av,0.027
52 St,0.027
69 St,0.026
62 St,0.026
Cortelyou Rd,0.026
25 St,0.026
138 St-Grand Concourse,0.026
Simpson St,0.025
Woodlawn,0.025
Sterling St,0.025
Classon Av,0.025
Sutter Av-Rutland Rd,0.025
Broad St,0.025
155 St,0.025
Smith-9 Sts,0.024
Norwood-205 St,0.024
Kosciuszko St,0.024
Grant Av,0.024
Tremont Av,0.023
Fresh Pond Rd,0.023
Kingston Av,0.023
207 St,0.023
Avenue M,0.023
Bedford Park Blvd,0.022
Avenue J,0.022
Hunters Point Av,0.022
Pelham Bay Park,0.022
Neck Rd,0.022
Brook Av,0.021
Beverly Rd,0.021
Ralph Av,0.021
Castle Hill Av,0.02
Knickerbocker Av,0.02
Elder Av,0.02
183 St,0.02
Briarwood,0.02
55 St,0.02
President St-Medgar Evers College,0.02
Bedford Park Blvd-Lehman College,0.02
Ditmas Av,0.02
Far Rockaway-Mott Av,0.02
174 St,0.019
Myrtle-Willoughby Avs,0.019
Morrison Av-Soundview,0.019
Jamaica-Van Wyck,0.019
Wilson Av,0.019
176 St,0.019
Forest Av,0.019
80 St,0.018
Jackson Av,0.018
West Farms Sq-E Tremont Av,0.018
Beverley Rd,0.018
Bronx Park East,0.018
104 St,0.018
25 Av,0.018
163 St-Amsterdam Av,0.018
Marble Hill-225 St,0.018
190 St,0.018
Allerton Av,0.017
Sutphin Blvd,0.017
Central Av,0.017
Saratoga Av,0.017
Mt Eden Av,0.017
E 149 St,0.017
Eastchester-Dyre Av,0.016
39 Av-Dutch Kills,0.016
238 St,0.016
85 St-Forest Pkwy,0.016
Middle Village-Metropolitan Av,0.016
Wakefield-241 St,0.016
Harlem-148 St,0.016
Bowery,0.016
Seneca Av,0.016
Howard Beach-JFK Airport,0.016
W 8 St-NY Aquarium,0.015
182-183 Sts,0.015
Freeman St,0.014
65 St,0.014
Pennsylvania Av,0.014
174-175 Sts,0.014
233 St,0.014
Bay 50 St,0.013
Buhre Av,0.013
88 St,0.013
75 Av,0.013
St Lawrence Av,0.013
Hewes St,0.013
Ocean Pkwy,0.013
Crescent St,0.012
Avenue H,0.012
Avenue X,0.012
Morris Park,0.012
Avenue N,0.011
Cypress Av,0.011
Longwood Av,0.011
Beach 67 St,0.011
Westchester Sq-E Tremont Av,0.011
Nereid Av,0.011
Chauncey St,0.01
Baychester Av,0.01
Avenue P,0.01
225 St,0.01
Livonia Av,0.01
Burke Av,0.01
Intervale Av,0.01
East 105 St,0.01
Bushwick Av-Aberdeen St,0.01
Rockaway Park-Beach 116 St,0.009
Shepherd Av,0.009
Canarsie-Rockaway Pkwy,0.009
Avenue I,0.008
215 St,0.008
Zerega Av,0.008
Junius St,0.008
Liberty Av,0.008
121 St,0.007
Sutter Av,0.007
219 St,0.007
Norwood Av,0.007
21 St,0.006
Middletown Rd,0.006
Neptune Av,0.006
Alabama Av,0.006
Atlantic Av,0.006
Cleveland St,0.006
Whitlock Av,0.005
Park Pl,0.005
Beach 25 St,0.005
Beach 60 St,0.005
Cypress Hills,0.005
75 St-Elderts Ln,0.004
E 143 St-St Mary's St,0.003
Beach 90 St,0.003
Beach 105 St,0.002
Aqueduct-N Conduit Av,0.002
Aqueduct Racetrack,0.002
Beach 98 St,0.002
Beach 36 St,0.001
Beach 44 St,0.001
Broad Channel,0.0
