year,latitude,longitude,ridership,ridership_coords
2024,40.718701,-74.00058,1618836.025,POINT (-74.00058 40.718701)
2024,40.719318,-74.006886,207465.0386,POINT (-74.006886 40.719318)
2024,40.72028,-73.993915,131279.1125,POINT (-73.993915 40.72028)
2024,40.720824,-74.005229,631594.1997,POINT (-74.005229 40.720824)
2024,40.721691,-73.844521,870975.229,POINT (-73.844521 40.721691)
2024,40.722301,-73.997141,455706.884,POINT (-73.997141 40.722301)
2024,40.722854,-74.006277,175349.3124,POINT (-74.006277 40.722854)
2024,40.723402,-73.989938,620393.1657,POINT (-73.989938 40.723402)
2024,40.724329,-73.997702,480892.269,POINT (-73.997702 40.724329)
2024,40.724635,-73.951277,315354.9562,POINT (-73.951277 40.724635)
2024,40.725606,-73.995432,1420366.1981,POINT (-73.995432 40.725606)
2024,40.726227,-74.003739,472074.6074,POINT (-74.003739 40.726227)
2024,40.726523,-73.852719,254143.6223,POINT (-73.852719 40.726523)
2024,40.728251,-74.005367,446118.8906,POINT (-74.005367 40.728251)
2024,40.729846,-73.861604,448985.6292,POINT (-73.861604 40.729846)
2024,40.730054,-73.99107,595387.409,POINT (-73.99107 40.730054)
2024,40.730328,-73.992629,595334.5331,POINT (-73.992629 40.730328)
2024,40.730953,-73.981628,891174.5927,POINT (-73.981628 40.730953)
2024,40.731352,-73.954449,318576.0327,POINT (-73.954449 40.731352)
2024,40.732338,-74.000495,1597407.7934,POINT (-74.000495 40.732338)
2024,40.732849,-73.986122,251924.4112,POINT (-73.986122 40.732849)
2024,40.733106,-73.869229,617496.5884,POINT (-73.869229 40.733106)
2024,40.733422,-74.002906,431335.5199,POINT (-74.002906 40.733422)
2024,40.735066,-73.990416,3321796.6306,POINT (-73.990416 40.735066)
2024,40.737015,-73.877223,595316.7783,POINT (-73.877223 40.737015)
2024,40.737796,-73.997732,1538550.2224,POINT (-73.997732 40.737796)
2024,40.739864,-73.986599,789490.0031,POINT (-73.986599 40.739864)
2024,40.740335,-74.002134,1742555.018,POINT (-74.002134 40.740335)
2024,40.74104,-73.997871,264102.645,POINT (-73.997871 40.74104)
2024,40.741303,-73.989344,674950.4829,POINT (-73.989344 40.741303)
2024,40.742216,-73.948916,157204.4394,POINT (-73.948916 40.742216)
2024,40.742454,-73.882017,427925.0123,POINT (-73.882017 40.742454)
2024,40.742626,-73.953581,574605.0183,POINT (-73.953581 40.742626)
2024,40.742878,-73.992821,852549.8343,POINT (-73.992821 40.742878)
2024,40.74307,-73.984264,675718.9664,POINT (-73.984264 40.74307)
2024,40.743132,-73.918435,413034.2919,POINT (-73.918435 40.743132)
2024,40.743781,-73.924016,318440.8751,POINT (-73.924016 40.743781)
2024,40.744065,-73.949724,58589.6237,POINT (-73.949724 40.744065)
2024,40.744081,-73.995657,474593.6996,POINT (-73.995657 40.744081)
2024,40.744149,-73.912549,216029.0545,POINT (-73.912549 40.744149)
2024,40.744587,-73.930997,242876.1931,POINT (-73.930997 40.744587)
2024,40.745494,-73.988691,443233.7221,POINT (-73.988691 40.745494)
2024,40.74563,-73.902984,568155.9757,POINT (-73.902984 40.74563)
2024,40.745906,-73.998041,715514.3063,POINT (-73.998041 40.745906)
2024,40.746081,-73.982076,909354.6407,POINT (-73.982076 40.746081)
2024,40.746325,-73.896403,209215.4661,POINT (-73.896403 40.746325)
2024,40.746746,-73.891366,2276956.0435,POINT (-73.891366 40.746746)
2024,40.747141,-73.945032,905570.4439,POINT (-73.945032 40.747141)
2024,40.747215,-73.993365,451533.6955,POINT (-73.993365 40.747215)
2024,40.747659,-73.883697,325288.4695,POINT (-73.883697 40.747659)
2024,40.748408,-73.876613,685047.6956,POINT (-73.876613 40.748408)
2024,40.748973,-73.937243,650058.1474,POINT (-73.937243 40.748973)
2024,40.749145,-73.869527,977665.3582,POINT (-73.869527 40.749145)
2024,40.749643,-73.987887,3658051.6998,POINT (-73.987887 40.749643)
2024,40.749669,-73.898453,115854.0892,POINT (-73.898453 40.749669)
2024,40.749865,-73.8627,951408.4564,POINT (-73.8627 40.749865)
2024,40.750373,-73.991057,2390888.6121,POINT (-73.991057 40.750373)
2024,40.750582,-73.940202,470879.652,POINT (-73.940202 40.750582)
2024,40.75173,-73.855334,281601.6865,POINT (-73.855334 40.75173)
2024,40.751992,-73.977359,5002586.7083,POINT (-73.977359 40.751992)
2024,40.752039,-73.928781,118184.7067,POINT (-73.928781 40.752039)
2024,40.752287,-73.993391,2741190.3924,POINT (-73.993391 40.752287)
2024,40.752882,-73.932755,132421.7986,POINT (-73.932755 40.752882)
2024,40.752885,-73.906006,216431.3471,POINT (-73.906006 40.752885)
2024,40.754022,-73.983266,1686750.4645,POINT (-73.983266 40.754022)
2024,40.754203,-73.942836,203677.9621,POINT (-73.942836 40.754203)
2024,40.754622,-73.845625,291356.9333,POINT (-73.845625 40.754622)
2024,40.755746,-73.987581,6777693.9402,POINT (-73.987581 40.755746)
2024,40.755882,-74.00191,885177.1018,POINT (-74.00191 40.755882)
2024,40.756312,-73.913333,237111.7544,POINT (-73.913333 40.756312)
2024,40.756804,-73.929575,222797.1708,POINT (-73.929575 40.756804)
2024,40.756879,-73.92074,434269.3948,POINT (-73.92074 40.756879)
2024,40.75733,-73.970487,1837230.1359,POINT (-73.970487 40.75733)
2024,40.758663,-73.981329,1770060.5461,POINT (-73.981329 40.758663)
2024,40.759145,-73.95326,253880.314,POINT (-73.95326 40.759145)
2024,40.7596,-73.83003,2227230.5342,POINT (-73.83003 40.7596)
2024,40.759901,-73.984139,947519.6267,POINT (-73.984139 40.759901)
2024,40.760167,-73.975224,703469.4247,POINT (-73.975224 40.760167)
2024,40.761728,-73.983849,738574.3658,POINT (-73.983849 40.761728)
2024,40.76182,-73.925508,415242.8814,POINT (-73.925508 40.76182)
2024,40.762456,-73.985984,800553.0793,POINT (-73.985984 40.762456)
2024,40.762593,-73.967613,1790370.7885,POINT (-73.967613 40.762593)
2024,40.762862,-73.981637,639775.375,POINT (-73.981637 40.762862)
2024,40.763972,-73.97745,373494.9629,POINT (-73.97745 40.763972)
2024,40.764629,-73.966113,500512.9431,POINT (-73.966113 40.764629)
2024,40.764664,-73.980658,1235246.253,POINT (-73.980658 40.764664)
2024,40.764811,-73.973347,552073.5554,POINT (-73.973347 40.764811)
2024,40.766779,-73.921479,454894.2869,POINT (-73.921479 40.766779)
2024,40.768141,-73.96387,777407.4291,POINT (-73.96387 40.768141)
2024,40.768272,-73.981833,2470216.7986,POINT (-73.981833 40.768272)
2024,40.768799,-73.958424,1011942.5881,POINT (-73.958424 40.768799)
2024,40.770258,-73.917843,365558.9775,POINT (-73.917843 40.770258)
2024,40.77344,-73.982209,677539.1582,POINT (-73.982209 40.77344)
2024,40.77362,-73.959874,961195.6974,POINT (-73.959874 40.77362)
2024,40.775036,-73.912034,501605.198,POINT (-73.912034 40.775036)
2024,40.775594,-73.97641,393375.937,POINT (-73.97641 40.775594)
2024,40.777891,-73.951787,829867.0141,POINT (-73.951787 40.777891)
2024,40.778453,-73.98197,1425748.7116,POINT (-73.98197 40.778453)
2024,40.779492,-73.955589,1651296.1108,POINT (-73.955589 40.779492)
2024,40.781433,-73.972143,540190.8737,POINT (-73.972143 40.781433)
2024,40.783934,-73.979917,434515.517,POINT (-73.979917 40.783934)
2024,40.784318,-73.947152,588370.6471,POINT (-73.947152 40.784318)
2024,40.785672,-73.95107,572247.7502,POINT (-73.95107 40.785672)
2024,40.785868,-73.968916,400942.8733,POINT (-73.968916 40.785868)
2024,40.788644,-73.976218,515545.925,POINT (-73.976218 40.788644)
2024,40.7906,-73.947478,355993.8914,POINT (-73.947478 40.7906)
2024,40.791642,-73.964696,337284.1239,POINT (-73.964696 40.791642)
2024,40.793919,-73.972323,1214896.6616,POINT (-73.972323 40.793919)
2024,40.79502,-73.94425,288980.879,POINT (-73.94425 40.79502)
2024,40.796092,-73.961454,161461.3724,POINT (-73.961454 40.796092)
2024,40.798629,-73.941617,410578.9233,POINT (-73.941617 40.798629)
2024,40.799075,-73.951822,218203.4337,POINT (-73.951822 40.799075)
2024,40.799446,-73.968379,406100.7922,POINT (-73.968379 40.799446)
2024,40.800603,-73.958161,265768.537,POINT (-73.958161 40.800603)
2024,40.802098,-73.949625,282250.7438,POINT (-73.949625 40.802098)
2024,40.803967,-73.966847,416632.1337,POINT (-73.966847 40.803967)
2024,40.804138,-73.937594,802944.2438,POINT (-73.937594 40.804138)
2024,40.805085,-73.954882,217655.918,POINT (-73.954882 40.805085)
2024,40.805368,-73.914042,89657.9691,POINT (-73.914042 40.805368)
2024,40.807566,-73.91924,157214.6571,POINT (-73.91924 40.807566)
2024,40.807722,-73.96411,465323.5705,POINT (-73.96411 40.807722)
2024,40.807754,-73.945495,432220.4674,POINT (-73.945495 40.807754)
2024,40.808719,-73.907657,37231.7071,POINT (-73.907657 40.808719)
2024,40.810476,-73.926138,242172.3131,POINT (-73.926138 40.810476)
2024,40.811109,-73.952343,882810.2222,POINT (-73.952343 40.811109)
2024,40.812118,-73.904098,138768.1737,POINT (-73.904098 40.812118)
2024,40.813224,-73.929849,115968.5526,POINT (-73.929849 40.813224)
2024,40.814229,-73.94077,321797.4863,POINT (-73.94077 40.814229)
2024,40.815581,-73.958372,286385.158,POINT (-73.958372 40.815581)
2024,40.816104,-73.896435,98999.4949,POINT (-73.896435 40.816104)
2024,40.816109,-73.917757,549694.6916,POINT (-73.917757 40.816109)
2024,40.81649,-73.907807,133771.9129,POINT (-73.907807 40.81649)
2024,40.817894,-73.947649,171022.2112,POINT (-73.947649 40.817894)
2024,40.818393,-73.927034,300959.8836,POINT (-73.927034 40.818393)
2024,40.819585,-73.90177,181275.7509,POINT (-73.90177 40.819585)
2024,40.820421,-73.936245,87612.8455,POINT (-73.936245 40.820421)
2024,40.820948,-73.890549,285541.7748,POINT (-73.890549 40.820948)
2024,40.822008,-73.953676,373431.383,POINT (-73.953676 40.822008)
2024,40.822181,-73.896736,76468.1625,POINT (-73.896736 40.822181)
2024,40.82388,-73.93647,99235.4415,POINT (-73.93647 40.82388)
2024,40.824073,-73.893064,197995.572,POINT (-73.893064 40.824073)
2024,40.824783,-73.944216,750141.3689,POINT (-73.944216 40.824783)
2024,40.826525,-73.886283,53051.2313,POINT (-73.886283 40.826525)
2024,40.826551,-73.95036,303240.0901,POINT (-73.95036 40.826551)
2024,40.82795,-73.925741,876805.7484,POINT (-73.925741 40.82795)
2024,40.828584,-73.879159,165391.3975,POINT (-73.879159 40.828584)
2024,40.829521,-73.874516,156041.1888,POINT (-73.874516 40.829521)
2024,40.829993,-73.891865,118592.8662,POINT (-73.891865 40.829993)
2024,40.830135,-73.938209,80747.536,POINT (-73.938209 40.830135)
2024,40.830518,-73.941514,86349.7869,POINT (-73.941514 40.830518)
2024,40.831509,-73.867618,107871.7463,POINT (-73.867618 40.831509)
2024,40.833226,-73.860816,432299.8849,POINT (-73.860816 40.833226)
2024,40.833771,-73.91844,210676.9483,POINT (-73.91844 40.833771)
2024,40.834041,-73.94489,323185.8587,POINT (-73.94489 40.834041)
2024,40.834255,-73.851222,162483.655,POINT (-73.851222 40.834255)
2024,40.835537,-73.9214,251394.2866,POINT (-73.9214 40.835537)
2024,40.836013,-73.939892,133547.063,POINT (-73.939892 40.836013)
2024,40.836488,-73.847036,72864.7101,POINT (-73.847036 40.836488)
2024,40.837288,-73.887734,151466.7358,POINT (-73.887734 40.837288)
2024,40.839306,-73.9134,145255.5569,POINT (-73.9134 40.839306)
2024,40.839892,-73.842952,93357.0708,POINT (-73.842952 40.839892)
2024,40.840075,-73.917791,203870.36,POINT (-73.917791 40.840075)
2024,40.840295,-73.880049,140872.3502,POINT (-73.880049 40.840295)
2024,40.840638,-73.939847,799237.539,POINT (-73.939847 40.840638)
2024,40.841894,-73.873488,262635.0353,POINT (-73.873488 40.841894)
2024,40.843863,-73.836322,62518.8666,POINT (-73.836322 40.843863)
2024,40.844434,-73.914685,139013.3592,POINT (-73.914685 40.844434)
2024,40.8459,-73.910136,116243.3794,POINT (-73.910136 40.8459)
2024,40.84681,-73.832569,114468.4904,POINT (-73.832569 40.84681)
2024,40.847391,-73.939704,342039.9605,POINT (-73.939704 40.847391)
2024,40.84848,-73.911794,154976.5055,POINT (-73.911794 40.84848)
2024,40.848828,-73.868457,64959.26,POINT (-73.868457 40.848828)
2024,40.849505,-73.933596,319020.3119,POINT (-73.933596 40.849505)
2024,40.85041,-73.905227,184504.6046,POINT (-73.905227 40.85041)
2024,40.851695,-73.937969,305553.8262,POINT (-73.937969 40.851695)
2024,40.852462,-73.828121,180810.1237,POINT (-73.828121 40.852462)
2024,40.853453,-73.907684,288402.1481,POINT (-73.907684 40.853453)
2024,40.854364,-73.860495,77639.2064,POINT (-73.860495 40.854364)
2024,40.855225,-73.929412,225395.3674,POINT (-73.929412 40.855225)
2024,40.856093,-73.900741,123599.0399,POINT (-73.900741 40.856093)
2024,40.857192,-73.867615,238613.4731,POINT (-73.867615 40.857192)
2024,40.858407,-73.903879,161954.3864,POINT (-73.903879 40.858407)
2024,40.858985,-73.855359,84811.6731,POINT (-73.855359 40.858985)
2024,40.859022,-73.93418,148825.9954,POINT (-73.93418 40.859022)
2024,40.860531,-73.925536,210375.8746,POINT (-73.925536 40.860531)
2024,40.861296,-73.897749,247260.695,POINT (-73.897749 40.861296)
2024,40.862803,-73.901034,284836.1859,POINT (-73.901034 40.862803)
2024,40.864621,-73.918822,186634.3051,POINT (-73.918822 40.864621)
2024,40.865462,-73.867352,119917.7114,POINT (-73.867352 40.865462)
2024,40.865491,-73.927271,213872.5265,POINT (-73.927271 40.865491)
2024,40.866978,-73.893509,169501.5957,POINT (-73.893509 40.866978)
2024,40.86776,-73.897174,247994.4091,POINT (-73.897174 40.86776)
2024,40.868072,-73.919899,293322.8054,POINT (-73.919899 40.868072)
2024,40.869444,-73.915279,76362.3003,POINT (-73.915279 40.869444)
2024,40.869526,-73.846384,124311.3539,POINT (-73.846384 40.869526)
2024,40.871356,-73.867164,74248.9073,POINT (-73.867164 40.871356)
2024,40.873244,-73.887138,178274.0724,POINT (-73.887138 40.873244)
2024,40.873412,-73.890064,161812.7813,POINT (-73.890064 40.873412)
2024,40.874561,-73.909831,146645.3441,POINT (-73.909831 40.874561)
2024,40.874811,-73.878855,193319.751,POINT (-73.878855 40.874811)
2024,40.87785,-73.866256,184882.098,POINT (-73.866256 40.87785)
2024,40.878663,-73.838591,77348.6937,POINT (-73.838591 40.878663)
2024,40.878856,-73.904834,263048.8112,POINT (-73.904834 40.878856)
2024,40.87975,-73.884655,222080.8811,POINT (-73.884655 40.87975)
2024,40.883895,-73.862633,62673.9968,POINT (-73.862633 40.883895)
2024,40.884667,-73.90087,136508.929,POINT (-73.90087 40.884667)
2024,40.886037,-73.878751,199794.3809,POINT (-73.878751 40.886037)
2024,40.888022,-73.860341,80375.1699,POINT (-73.860341 40.888022)
2024,40.8883,-73.830834,112251.6424,POINT (-73.830834 40.8883)
2024,40.889248,-73.898583,214321.2911,POINT (-73.898583 40.889248)
2024,40.893193,-73.857473,108435.0104,POINT (-73.857473 40.893193)
2024,40.898379,-73.854376,76878.6708,POINT (-73.854376 40.898379)
2024,40.903125,-73.85062,129961.1384,POINT (-73.85062 40.903125)
